,default_0,default_time_0,min_weight_0,min_weight_time_0,max_value_0,max_value_time_0,max_ratio_0,max_ratio_time_0,hyperheuristic_0,hyperheuristic_time_0,hyperheuristic_1,hyperheuristic_time_1,hyperheuristic_2,hyperheuristic_time_2,hyperheuristic_3,hyperheuristic_time_3,hyperheuristic_4,hyperheuristic_time_4,hyperheuristic_5,hyperheuristic_time_5,hyperheuristic_6,hyperheuristic_time_6,hyperheuristic_7,hyperheuristic_time_7,hyperheuristic_8,hyperheuristic_time_8,hyperheuristic_9,hyperheuristic_time_9
0,16736.0,4.119058300000006,17188.0,0.0032906999999795516,16042.0,0.002128400000003694,17188.0,0.003832100000010996,17188.0,5.1931441000000405,17413.0,10.084058099999993,17188.0,4.756948599999987,17188.0,4.866757599999971,17188.0,5.194630399999994,17188.0,4.73779559999997,17188.0,5.294169999999951,17188.0,5.093868000000043,17188.0,4.780165199999999,17188.0,4.999766700000009
1,14364.0,0.001810299999988274,14638.0,0.003340700000023844,13292.0,0.0018317000000251937,14638.0,0.003533500000003187,14638.0,3.504571399999975,14638.0,5.021866499999987,14638.0,3.8420163000000116,14638.0,3.554200699999967,14638.0,5.201430500000015,14638.0,3.739601300000004,14638.0,4.724673800000005,14638.0,5.10588580000001,14638.0,3.7337287999999944,14638.0,3.6315142000000264
2,16165.0,0.002037500000028558,16663.0,0.0032782999999767526,15163.0,0.0019482000000152766,16665.0,0.003489999999999327,16665.0,4.945267999999999,16884.0,7.796278599999994,16665.0,4.072141799999997,16663.0,3.9168645999999967,16663.0,4.063315499999987,16665.0,3.845723200000009,16663.0,4.818102400000043,16665.0,5.2537284,16665.0,3.9829578000000083,16663.0,3.5484432000000083
3,15940.0,0.0019092000000000553,16463.0,0.0031786999999781074,14918.0,0.0019567999999594576,16463.0,0.0033963000000198917,16463.0,3.9605444000000034,16463.0,4.742174900000009,16463.0,3.7076586999999677,16463.0,3.641687900000022,16463.0,4.154127200000005,16463.0,4.069318599999974,16463.0,5.276712299999986,16463.0,4.1966185,16463.0,3.684792200000004,16463.0,3.8656846000000087
4,14937.0,0.0018608999999969456,15429.0,0.003236200000003464,13747.0,0.001821599999971113,15429.0,0.0034410999999749947,15429.0,4.004688999999985,15617.0,6.655603699999972,15429.0,3.5549978000000237,15429.0,3.947008500000038,15429.0,3.99903740000002,15429.0,3.6201547999999093,15429.0,4.219025299999998,15429.0,4.508828300000005,15429.0,3.668075599999952,15429.0,3.5409457999999177
5,15497.0,0.0018559000000095693,15687.0,0.0033186999999088584,14235.0,0.0018481999999266918,15687.0,0.0035652000000254702,15687.0,4.147461600000042,15687.0,4.5231520999999475,15687.0,4.190573299999983,15687.0,3.512289399999986,15687.0,4.134051499999941,15687.0,3.5136400000000094,15687.0,4.1623915000000125,15687.0,4.028306899999961,15687.0,3.8761650000000145,15687.0,3.5033353000000034
6,15999.0,0.002595400000018344,16203.0,0.003121700000065175,15017.0,0.001981799999953182,16203.0,0.003313400000024558,16203.0,3.1110071000000517,16203.0,3.7097539999999753,16203.0,3.3868766999999025,16203.0,3.093707600000016,16203.0,3.499070700000061,16203.0,3.3834668999999167,16203.0,3.636031600000024,16203.0,3.8322306000000026,16203.0,3.513021399999957,16203.0,3.27382590000002
7,13347.0,0.0025589000000536544,14045.0,0.003390999999965061,11862.0,0.0017854000000170345,14045.0,0.0036008999999239677,14045.0,3.7252586999999266,14045.0,4.35233519999997,14045.0,3.771291700000006,14045.0,3.6233961000000363,14045.0,4.138172999999938,14045.0,4.445409400000017,14045.0,4.2469571000000315,14045.0,6.499764099999993,14045.0,3.6983216999999513,14045.0,4.1391283000000385
8,14671.0,0.002596100000005208,15336.0,0.0033497000000579646,13218.0,0.001723699999956807,15352.0,0.0034550999999964915,15352.0,4.3756693999999925,15352.0,5.040286299999934,15336.0,3.6290880000000243,15352.0,5.089958799999977,15352.0,7.175877600000035,15336.0,3.7975300999999035,15336.0,4.213996599999973,15352.0,5.5650477000000365,15352.0,3.8983540000000403,15352.0,4.117819299999951
9,13574.0,0.0025274999999282954,14057.0,0.0033674999999675492,12237.0,0.0017341999999871405,14057.0,0.0035553000000163593,14057.0,4.184270699999956,14057.0,3.620435000000043,14057.0,3.9696979000000283,14057.0,3.75480570000002,14057.0,4.950653099999954,14057.0,3.774391199999968,14057.0,4.004378100000054,14057.0,4.406493800000021,14057.0,4.199678099999915,14057.0,3.6594294999999875
10,15276.0,0.0026569999999992433,15855.0,0.0032957999999325693,14063.0,0.0019283000000314132,15855.0,0.003400000000056025,15855.0,3.3763997999999447,15855.0,3.689805500000034,15855.0,3.440891899999997,15855.0,3.69472159999998,15855.0,3.608197700000005,15855.0,3.5113571999999067,15855.0,4.229051300000037,15855.0,5.184740399999896,15855.0,3.613639899999953,15855.0,3.423835800000006
11,15522.0,0.002500499999996464,16081.0,0.00330240000005233,14352.0,0.001959599999963757,16081.0,0.0035307999999076856,16081.0,4.137068499999941,16081.0,3.5705897999999934,16081.0,4.162309499999992,16081.0,3.6174634999999853,16081.0,4.06667989999994,16081.0,3.993889700000068,16081.0,4.968046000000072,16081.0,4.883748999999966,16081.0,3.6750833999999486,16081.0,3.604054700000006
12,14391.0,0.0023389000000406668,14520.0,0.0032164999998940402,13124.0,0.0017639999999801148,14531.0,0.0034161999999469117,14520.0,3.95412900000008,14520.0,3.6071110000000317,14520.0,3.5793271000000004,14520.0,3.508774899999935,14520.0,3.6764241000000766,14520.0,3.9258267999999816,14520.0,3.628387699999962,14520.0,4.830068800000049,14520.0,3.5111824000000524,14520.0,3.929486200000042
13,15007.0,0.0022978000000648535,15549.0,0.0031964000000925807,14076.0,0.0018720000000485015,15549.0,0.0033805000000484142,15549.0,3.6088456999999607,15549.0,3.3017028000000437,15549.0,3.4628410999999915,15549.0,3.2330025999999634,15549.0,3.8684388000000354,15549.0,3.553474099999903,15549.0,3.585175100000015,15549.0,3.9031192999999575,15549.0,3.456208100000026,15549.0,3.763733200000047
14,14277.0,0.0024300999999695705,15135.0,0.0032943999999588414,13290.0,0.0019009999999752836,15135.0,0.0034107000000176413,15135.0,3.848735099999999,15135.0,5.09672020000005,15135.0,3.7216293999999834,15135.0,3.919398699999988,15135.0,4.241833100000008,15135.0,3.794789499999979,15135.0,3.5519433000000618,15135.0,6.069686300000058,15135.0,3.7867287999999917,15135.0,3.7250863000000436
15,15776.0,0.0024720999999772175,16185.0,0.0032840999999734777,14587.0,0.001805800000056479,16185.0,0.0034367000000656844,16185.0,3.5478793999999425,16185.0,3.62992579999991,16185.0,3.983708999999976,16185.0,3.4294499000000087,16185.0,4.191249500000026,16185.0,3.638538500000095,16353.0,4.9311965000000555,16185.0,5.572767799999951,16185.0,3.748639600000047,16185.0,3.6530225999999857
16,14680.0,0.002618700000084573,15196.0,0.003277099999991151,13625.0,0.0018790999999964697,15196.0,0.003447700000037912,15196.0,4.075472399999967,15196.0,4.580548199999953,15196.0,3.6786870999999337,15196.0,3.5804853000000776,15196.0,5.789827999999943,15196.0,3.738276400000018,15196.0,3.8269870999999966,15196.0,5.8546874999999545,15196.0,4.29791160000002,15196.0,3.687325699999974
17,16837.0,0.0025476000000708154,17277.0,0.003185600000051636,15656.0,0.0019095000000106666,17284.0,0.003386800000043877,17277.0,3.5082866000000195,17431.0,7.017250500000046,17284.0,4.138947500000086,17277.0,3.372025899999926,17431.0,7.360267100000101,17284.0,5.525214499999947,17431.0,6.682838500000116,17284.0,5.886366400000043,17277.0,3.9195451000000503,17277.0,3.4880344999999124
18,14700.0,0.002362199999879522,15263.0,0.0032462000001487468,13818.0,0.001990100000057282,15263.0,0.003507600000148159,15263.0,3.8968757999998616,15263.0,3.950231799999983,15263.0,3.931757800000014,15263.0,3.5607683000000634,15263.0,4.0791189000001395,15263.0,3.7836374000000887,15263.0,3.900988899999902,15263.0,5.2456166999998,15263.0,3.61051539999994,15263.0,3.5711681999998746
19,14382.0,0.0024558000000070024,14863.0,0.003281100000094739,13010.0,0.0018382999999175809,14863.0,0.003496499999982916,14863.0,3.8850210000000516,14863.0,4.498787200000152,14863.0,3.7958673000000545,14863.0,3.5891861000000063,14863.0,4.3288749000000735,14863.0,3.4540812000000187,14863.0,4.316442199999983,14863.0,5.371718800000053,14863.0,3.7441054999999324,14863.0,3.6643618999999035
20,13995.0,0.0023148999998738873,14773.0,0.0032258000001093023,13161.0,0.0017941000000973872,14773.0,0.0034276000001227658,14773.0,3.8552942999999686,14773.0,3.505900299999894,14773.0,3.7995862999998735,14773.0,3.2248399000000063,14773.0,4.297628700000132,14773.0,3.603008399999908,14773.0,3.4430174999999963,14773.0,4.992271400000163,14773.0,3.8884709000001294,14773.0,3.808241799999905
