,default_0,default_time_0,min_weight_0,min_weight_time_0,max_value_0,max_value_time_0,max_ratio_0,max_ratio_time_0,SimulatedAnnealing_0,SimulatedAnnealing_time_0,SimulatedAnnealing_1,SimulatedAnnealing_time_1,SimulatedAnnealing_2,SimulatedAnnealing_time_2,SimulatedAnnealing_3,SimulatedAnnealing_time_3,SimulatedAnnealing_4,SimulatedAnnealing_time_4,SimulatedAnnealing_5,SimulatedAnnealing_time_5,SimulatedAnnealing_6,SimulatedAnnealing_time_6,SimulatedAnnealing_7,SimulatedAnnealing_time_7,SimulatedAnnealing_8,SimulatedAnnealing_time_8,SimulatedAnnealing_9,SimulatedAnnealing_time_9,RandomSearch_0,RandomSearch_time_0,RandomSearch_1,RandomSearch_time_1,RandomSearch_2,RandomSearch_time_2,RandomSearch_3,RandomSearch_time_3,RandomSearch_4,RandomSearch_time_4,RandomSearch_5,RandomSearch_time_5,RandomSearch_6,RandomSearch_time_6,RandomSearch_7,RandomSearch_time_7,RandomSearch_8,RandomSearch_time_8,RandomSearch_9,RandomSearch_time_9,IP_0,IP_time_0,hyperheuristic_0,hyperheuristic_time_0,hyperheuristic_1,hyperheuristic_time_1,hyperheuristic_2,hyperheuristic_time_2,hyperheuristic_3,hyperheuristic_time_3,hyperheuristic_4,hyperheuristic_time_4,hyperheuristic_5,hyperheuristic_time_5,hyperheuristic_6,hyperheuristic_time_6,hyperheuristic_7,hyperheuristic_time_7,hyperheuristic_8,hyperheuristic_time_8,hyperheuristic_9,hyperheuristic_time_9
0,2515.0,0.0009519999999980655,8693.0,0.0029178999999999178,2983.0,0.0009019999999964057,8817.0,0.002811899999997536,4054.0,0.0028937000000013313,5233.0,0.0038043999999928246,5233.0,0.002909999999999968,5596.0,0.004858600000005708,2515.0,0.0021731000000073664,3170.0,0.0027754999999984875,3213.0,0.003180199999988531,2874.0,0.0019381000000038284,5543.0,0.0026071999999999207,5233.0,0.0033612999999945714,3022.0,0.0019035000000116042,7143.0,0.0030450000000001864,5543.0,0.002285999999998012,3213.0,0.0017931999999944992,7873.0,0.0039227000000039425,3503.0,0.0019611999999966656,7143.0,0.00282359999999926,2755.0,0.001527699999996912,5427.0,0.0028805999999974574,4653.0,0.0023941000000036183,9147.0,0.009909100000001558,8900.0,25.00845419999999,8900.0,27.87692560000002,8900.0,9.892786900000004,8693.0,6.472916499999997,8693.0,33.5845607,8900.0,5.992051500000002,8693.0,4.21271680000001,8900.0,6.363311999999979,8693.0,4.072010699999993,8900.0,5.20552459999999
1,3285.0,0.0018139999999959855,10744.0,0.007979599999998754,4544.0,0.002021600000006174,11227.0,0.007232099999981756,8430.0,0.007965100000006942,6791.0,0.00781449999999495,3644.0,0.005048599999980752,6614.0,0.005952100000001792,3644.0,0.006806900000015048,6863.0,0.007234400000015739,5346.0,0.0050286999999968884,7917.0,0.008275499999996327,4681.0,0.004901599999982409,6240.0,0.007699200000018891,5404.0,0.0044091999999977816,4681.0,0.004810599999984788,7130.0,0.0045712000000150965,5162.0,0.004546500000003562,7314.0,0.005101300000006859,6599.0,0.005084199999998873,7130.0,0.0056203999999979715,7130.0,0.004333199999990711,5441.0,0.00410289999999236,3525.0,0.0035948000000018965,11238.0,0.013686699999993834,11227.0,5.409172399999989,10744.0,4.039629600000012,11227.0,6.306569899999971,11227.0,5.709575700000016,11227.0,4.543612699999983,10744.0,20.203973099999985,11227.0,6.1282138999999916,10744.0,4.299631299999987,11227.0,7.246803600000021,10744.0,4.27067599999998
2,7936.0,0.009769500000004427,25187.0,0.05734430000001112,9952.0,0.01152180000002545,28834.0,0.05659880000001749,10890.0,0.026145900000017264,10890.0,0.025504899999987174,11239.0,0.02660830000002079,11413.0,0.02870690000003151,11958.0,0.03261820000000171,11791.0,0.03087110000001303,9339.0,0.0265594999999621,7760.0,0.01940740000003416,11302.0,0.024658200000033048,14450.0,0.03154819999997471,10824.0,0.02491340000000264,8612.0,0.01849490000000742,9021.0,0.01770249999998441,11958.0,0.02637579999998252,9744.0,0.019680499999992662,11786.0,0.024634499999990567,10164.0,0.026522599999964314,7997.0,0.017307500000015352,13970.0,0.02765429999999469,11940.0,0.024055799999985084,28857.0,0.01929470000004585,27364.0,11.498195199999998,26018.0,8.717287400000032,25187.0,4.791988600000025,25187.0,4.343351499999983,25187.0,4.311639900000046,25187.0,4.390002299999992,25187.0,4.6408309999999915,25187.0,4.810196200000007,25187.0,4.960538799999995,25737.0,7.895397299999956
3,9209.0,0.02405310000000327,47521.0,0.22811359999997194,13821.0,0.036338199999988774,54386.0,0.22220329999998967,24219.0,0.1267481999999518,24496.0,0.13417769999995244,16797.0,0.09273780000000897,18635.0,0.09254900000001953,24596.0,0.1395726999999738,24533.0,0.11793529999999919,17526.0,0.07967650000000503,17743.0,0.08454619999997703,19953.0,0.10370890000001509,23314.0,0.12562769999999546,15526.0,0.05558120000000599,16144.0,0.06450270000004821,19963.0,0.09238990000000058,27273.0,0.11471139999997604,19850.0,0.07914729999998826,22909.0,0.09815720000000283,17703.0,0.06634139999999888,23524.0,0.10260690000001205,21111.0,0.09078589999995756,18833.0,0.07907529999999952,54503.0,0.030475400000000263,51872.0,49.44400059999998,47521.0,11.38214929999998,48716.0,15.890338799999995,47521.0,7.279154600000027,48453.0,13.764377699999955,48219.0,11.27107970000003,47521.0,8.9226228,49128.0,13.096552400000007,48085.0,9.636878700000011,48219.0,11.57964400000003
4,14080.0,0.08172749999994267,97756.0,0.9152526999999964,26228.0,0.13312210000003688,110547.0,0.8800171999999975,34608.0,0.32359789999998156,24081.0,0.18582519999995384,30001.0,0.23433120000004237,33511.0,0.26903149999998277,33334.0,0.3154110000000401,28414.0,0.24314089999995758,31877.0,0.3020159999999805,36838.0,0.35701030000006995,29417.0,0.2505295999999362,27405.0,0.21993269999995846,33622.0,0.29254709999997885,37579.0,0.271257500000047,30909.0,0.2394913999999062,31822.0,0.260463800000025,29903.0,0.217301300000031,29131.0,0.21852079999996477,31955.0,0.26082660000008673,29944.0,0.22706019999998261,30424.0,0.24913409999999203,31771.0,0.25126129999989644,110625.0,0.06971129999999448,105522.0,74.44074560000001,98692.0,23.480669000000034,98649.0,15.381905599999982,99899.0,22.797185000000013,98692.0,21.094835899999907,98692.0,19.87939030000007,100789.0,32.281921200000056,99548.0,26.519316300000014,99555.0,38.30960730000004,99384.0,19.929430300000035
5,33727.0,0.4864795999999387,245518.0,5.958322199999998,49341.0,0.6603844999999637,276379.0,5.660389099999975,69176.0,1.6333759000000327,71200.0,1.6217908999999509,64549.0,1.3694891999999754,61968.0,1.4510735999999724,72707.0,1.732899599999996,77286.0,1.935064999999895,62790.0,1.4169516999999132,68769.0,1.6257475999999542,64453.0,1.796021400000086,81147.0,1.849303500000019,59778.0,1.1535632000000078,64737.0,1.2795826999999917,76211.0,1.5107708999998977,76286.0,1.4931275000000142,73771.0,1.3861407999999074,61654.0,1.2905479000000923,57019.0,1.1281979999999976,75604.0,1.4780974000000242,58671.0,1.110317900000041,58791.0,1.1439967000000024,276450.0,0.191884600000094,253444.0,183.0128205000001,247396.0,90.80352949999997,246455.0,55.09865059999993,246836.0,47.26930730000004,246281.0,47.97416509999994,246455.0,53.59513829999992,246455.0,52.267030100000056,246892.0,69.09196020000013,246455.0,52.97650500000009,246455.0,64.13091259999987
6,53345.0,1.7623828999999205,495441.0,24.645454299999983,107115.0,2.8448738999998113,563605.0,23.553140099999837,140713.0,6.87928799999986,139190.0,6.108560699999998,128735.0,5.729484100000036,130806.0,6.077585799999952,134396.0,5.875886600000058,115151.0,4.89239879999991,128746.0,6.0576785000000655,140030.0,6.807208899999978,131884.0,5.723746400000209,136767.0,6.049006099999815,129376.0,5.227386599999818,124943.0,5.058771699999852,137545.0,5.507624000000078,124103.0,5.0687092000000575,131402.0,5.3227081,129397.0,5.214311599999974,126130.0,5.17647020000004,123714.0,4.798642799999925,130058.0,5.247692799999868,121426.0,4.6305033000001,563640.0,0.42831669999986843,509383.0,396.0129571,499381.0,202.44941729999982,498518.0,141.33076829999982,498962.0,143.60578009999972,496005.0,121.29782120000027,497295.0,126.08857059999991,498023.0,153.47586709999996,496005.0,130.57524390000026,498305.0,142.27786890000016,498238.0,178.0654786
7,825.0,0.0008190000003196474,862.0,0.002783400000225811,1041.0,0.0005077999999230087,1487.0,0.0021985999997014005,1050.0,0.004532699999799661,979.0,0.004850700000133656,1050.0,0.0050341999999545806,1171.0,0.00550619999967239,1148.0,0.006212300000242976,1022.0,0.006577099999958591,1126.0,0.0030845000001136214,1309.0,0.004063299999870651,1041.0,0.004894100000001345,1050.0,0.0049503999998705694,1083.0,0.003044699999918521,1041.0,0.0011963999995714403,1022.0,0.0025031999998645915,1126.0,0.0015610000000378932,1198.0,0.0022112000001470733,1041.0,0.0013644999999087304,1136.0,0.0024711999999453838,1041.0,0.001222200000029261,1041.0,0.0012415000001055887,1041.0,0.0014676000000690692,1514.0,0.01570639999999912,1016.0,4.333504100000027,951.0,3.5485265000002073,951.0,3.419170199999826,951.0,2.974814499999866,951.0,3.409042799999952,951.0,2.6844209999999293,951.0,3.7643497999997635,951.0,3.6524051000001236,951.0,3.208197100000234,951.0,3.144350900000063
8,826.0,0.0017831000000114727,1043.0,0.00710300000037023,1073.0,0.001186999999845284,1604.0,0.0049632000000201515,1073.0,0.0051075999999739,1278.0,0.009891000000152417,1073.0,0.011757499999930587,1073.0,0.0035917000000154076,1082.0,0.010451200000261451,1157.0,0.0026776999998219253,1073.0,0.0050631000003704685,1073.0,0.008274399999663729,1073.0,0.008010200000171608,1009.0,0.011406799999804207,1039.0,0.0048022999999375315,1149.0,0.002961199999845121,1051.0,0.002435700000205543,1051.0,0.004277300000012474,1082.0,0.004314300000260118,1264.0,0.0037968999999975495,1127.0,0.0035993999999845983,1081.0,0.003076200000123208,1264.0,0.00479849999965154,1157.0,0.0026010999999925843,1634.0,0.02437740000004851,1096.0,3.44304639999973,1096.0,3.441162600000098,1096.0,3.39727479999965,1096.0,3.1069720999998935,1096.0,3.2868923999999424,1096.0,3.204184300000179,1096.0,3.8981919000002563,1096.0,3.5486347999999452,1096.0,4.406820599999719,1096.0,3.100007099999857
9,2481.0,0.009860900000148831,3105.0,0.0569722999998703,2951.0,0.005319200000030833,4552.0,0.03856679999989865,2926.0,0.018829099999948085,2756.0,0.024152399999820773,2756.0,0.012797299999874667,2891.0,0.01128789999984292,2926.0,0.01435300000002826,2850.0,0.014235999999982596,2970.0,0.012365100000351958,2926.0,0.011357800000041607,3042.0,0.022303799999917828,2850.0,0.02073579999978392,2936.0,0.013059200000043347,2850.0,0.013461300000017218,3109.0,0.018606199999794626,2930.0,0.01262559999986479,2872.0,0.014923299999736628,2926.0,0.01071479999973235,2970.0,0.01109889999997904,2787.0,0.011124799999834067,2950.0,0.015136299999994662,2899.0,0.016685600000073464,4566.0,0.019673499999953492,3105.0,5.190788800000064,3105.0,4.695142799999758,3105.0,4.0420624000003045,3105.0,4.2916941000003135,3105.0,4.271841900000254,3105.0,4.170101000000159,3105.0,4.4584303999999975,3105.0,4.5159349000000475,3105.0,5.453003099999933,3105.0,3.978819100000237
