,default,default_time,min_weight,min_weight_time,max_value,max_value_time,max_ratio,max_ratio_time,SimulatedAnnealing,SimulatedAnnealing_time,RandomSearch,RandomSearch_time,Hyperheuristic,Hyperheuristic_time,MILP,MILP_time
0,53345.0,1.8814337000000023,495441.0,25.2033304,107115.0,2.9164388999999744,563605.0,23.572177600000003,135682.6,8.736875439999997,128531.9,5.300396450000005,446970.4,275.83133343000003,563640.0,0.4284925000001749
1,9209.0,0.02642550000018673,47521.0,0.23101990000031947,13821.0,0.03970079999999143,54386.0,0.22730019999971773,20477.3,0.3222984200000155,19614.5,0.08131105999987084,43936.2,13.840128870000035,54503.0,0.03070819999993546
2,2515.0,0.0010016999999606924,8693.0,0.0027538999997887004,2983.0,0.0007965999998305051,8817.0,0.0027896999999939,4450.0,0.013130890000002182,4548.4,0.0023752899999635703,8755.1,4.23433898000003,9147.0,0.008595799999966403
3,14080.0,0.0857930000001943,97756.0,0.9233844000000317,26228.0,0.13146959999994579,110547.0,0.9026933000000099,32635.2,1.0736944700001003,29371.5,0.24053809000006368,89579.7,30.92441597000002,110625.0,0.0770262000000912
4,3285.0,0.0022217999999156746,10744.0,0.007393500000034692,4544.0,0.002092300000185787,11227.0,0.007280199999968318,5953.7,0.03813264000000345,5673.7,0.004939160000049014,10744.0,6.248269759999903,11238.0,0.013323600000148872
5,33727.0,0.4923396999997749,245518.0,6.038459099999727,49341.0,0.6531483999997363,276379.0,5.768054200000279,66760.4,2.5046674000001077,69460.9,1.417045440000038,221905.5,85.93369350999997,276450.0,0.19295190000048024
6,7936.0,0.010214900000391935,25187.0,0.057905099999516096,9952.0,0.011308800000733754,28834.0,0.05792670000028011,10433.1,0.17454759000002013,10395.5,0.021098519999850397,23871.6,8.606757900000048,28857.0,0.020662500000071304
7,50587.0,1.8689389000001029,59020.0,25.428262299999915,54190.0,1.4724019000004773,90200.0,17.838491299999987,55226.2,7.538801440000043,53135.7,3.593732600000294,59193.3,117.18532937999998,90198.0,0.317929699999695
8,4934.0,0.025089200000365963,6152.0,0.2348893999997017,5573.0,0.015846199999941746,9046.0,0.1643634000001839,5757.7,0.3243094299999029,5691.4,0.04585574000002453,6165.3,8.213029909999932,9052.0,0.043940200000179175
9,825.0,0.0013833000002705376,862.0,0.00276789999952598,1041.0,0.000506600000335311,1487.0,0.0021721000002798974,1067.7,0.012984099999903265,1060.1,0.0014468099998339312,967.4,3.2960501900000962,1514.0,0.01700619999974151
10,10172.0,0.08393360000081884,11972.0,0.92655620000005,11081.0,0.0652327999996487,18038.0,0.6449137999998129,11301.5,0.6046222700000726,11523.1,0.18848597999995037,12076.8,16.000810700000056,18051.0,0.10506420000001526
11,826.0,0.001822399999582558,1043.0,0.007236400000692811,1073.0,0.0011994000005870475,1604.0,0.004993800000193005,1081.0,0.033816879999903904,1108.4,0.00365416999993613,1110.2,3.190156069999921,1634.0,0.02651369999966846
12,25502.0,0.4964002000006076,27980.0,6.026586099999804,27381.0,0.366801399999531,44351.0,4.095492600000398,27555.1,1.7569709100001092,27531.9,0.9583123600000363,28242.5,43.63575248999996,44353.0,0.1150789999992412
13,2481.0,0.009903699999995297,3105.0,0.057255800000348245,2951.0,0.005343199999515491,4552.0,0.04046349999953236,2964.9,0.19038964999999736,2982.6,0.015453240000169899,3105.0,4.484170129999802,4566.0,0.018828899999789428
14,59619.0,1.744999700000335,146888.0,25.585275899999942,54519.0,1.39213269999982,146888.0,27.66501210000024,63198.2,6.621765910000159,63448.5,3.823841960000118,146915.7,130.4922483199999,146919.0,0.13120709999930114
15,6688.0,0.02691909999884956,14374.0,0.24611390000063693,5590.0,0.016501699999935227,14374.0,0.26533390000076906,6598.5,0.3492239700000937,6778.2,0.05310754000020097,14388.4,14.188350030000038,14390.0,0.06667840000045544
16,1693.0,0.0011504000012791948,2375.0,0.002917600000728271,1097.0,0.0004518999994616024,2375.0,0.003072999999858439,1411.2,0.015323879999778,1403.6,0.0018163599997933488,2394.2,5.224167669999588,2397.0,0.01024169999982405
17,12419.0,0.08717279999837046,28827.0,1.0368755999988934,10919.0,0.06039480000072217,28827.0,1.097903199999564,12808.0,0.5021379700001489,12947.7,0.1926058800001556,28863.3,20.991320829999676,28919.0,0.09086039999965578
18,1693.0,0.0024462000001221895,2649.0,0.007537899999078945,1097.0,0.0008696999993844656,2649.0,0.008557000001019333,1365.1,0.04790558999993664,1560.3,0.004374209999878076,2689.3,5.659438179999961,2697.0,0.010521399999561254
