NORM_MEAN_WEIGHT,NORM_MEDIAN_WEIGHT,NORM_STD_WEIGHT,NORM_MEAN_PROFIT,NORM_MEDIAN_PROFIT,NORM_STD_PROFIT,NORM_CORRELATION,NextHeuristic,ID
0.6,0.75,0.3219811718097815,0.526171875,0.5390625,0.3108479279747122,0.5049761305542106,default,1
0.6151315789473685,0.75,0.32334037150482053,0.514391447368421,0.484375,0.3145416770940778,0.5226817436913052,max_ratio,1
0.6423611111111112,0.78125,0.3102737055835431,0.5160590277777778,0.53125,0.32307909454718636,0.5199875493760241,max_ratio,1
0.6691176470588235,0.8125,0.29840623364269153,0.5078125,0.46875,0.3305994756910632,0.5416339016629443,max_ratio,1
0.6953125,0.8125,0.28800482173698067,0.49755859375,0.4375,0.3381413758661188,0.5682550502414342,min_weight,1
0.7333333333333333,0.8125,0.2556310275029661,0.5145833333333333,0.46875,0.34252702270729274,0.5218350923313061,max_ratio,1
0.7633928571428571,0.84375,0.2376157746816297,0.4966517857142857,0.4375,0.3476808815225184,0.5737287313000621,min_ratio,1
0.7208333333333333,0.8125,0.27938424357067015,0.4796875,0.40625,0.3418365304376738,0.6124451486147399,default,1
0.7142857142857143,0.84375,0.28807617508753,0.44810267857142855,0.375,0.332016243658489,0.6040813177365321,min_weight,1
0.7596153846153846,0.875,0.24618013681715592,0.4639423076923077,0.40625,0.3394140113057151,0.5681533475358722,max_ratio,1
0.8072916666666666,0.875,0.19001496194744477,0.4752604166666667,0.4375,0.3509084386465621,0.5399204658898249,default,1
0.5625,0.65625,0.34003676271838607,0.5545833333333333,0.5625,0.282860819230157,0.6578478470168589,default,2
0.5822368421052632,0.6875,0.33751987732580685,0.5456140350877193,0.5583333333333333,0.28742362856793224,0.6829852440151715,max_ratio,2
0.6111111111111112,0.6875,0.3231219478925511,0.5356481481481481,0.5458333333333333,0.29208707208939566,0.7275013056692656,max_ratio,2
0.6433823529411765,0.6875,0.30299114379465464,0.5450980392156862,0.5583333333333333,0.29786904971894784,0.721490689426948,max_ratio,2
0.67578125,0.71875,0.28230596039304146,0.5442708333333334,0.55,0.3070174447348681,0.7476794125042006,min_weight,2
0.7166666666666667,0.75,0.24137913929933733,0.5716666666666667,0.5666666666666667,0.2975486265893109,0.694056053986106,max_ratio,2
0.7633928571428571,0.78125,0.17226590519263157,0.5958333333333333,0.6,0.29342581740102613,0.6278786065487609,min_value,2
0.7166666666666667,0.75,0.24137913929933733,0.565,0.5666666666666667,0.30605313022172886,0.7181805781784354,min_ratio,2
0.67578125,0.71875,0.28230596039304146,0.5442708333333334,0.55,0.3070174447348681,0.7476794125042004,default,2
0.6583333333333333,0.6875,0.2830881291910505,0.5457227138643068,0.5663716814159292,0.311015751495652,0.7250349921465723,min_weight,2
0.7008928571428571,0.71875,0.24226720627169884,0.5745891276864729,0.584070796460177,0.30189583081823396,0.664266276332153,max_ratio,2
0.75,0.75,0.17160161824591103,0.5997277059223962,0.6017699115044248,0.2988388735209278,0.5837955827623538,default,2
0.765625,0.78125,0.16949104265909354,0.6025073746312684,0.6371681415929203,0.3108798531568497,0.5829913419819205,max_value,2
0.6,0.6875,0.2720006893373618,0.5213709677419355,0.6209677419354839,0.33684466378942846,0.6719404895724066,default,3
0.6151315789473685,0.6875,0.270737872941477,0.5161290322580645,0.6209677419354839,0.3447993278456766,0.6861360991354069,max_ratio,3
0.625,0.71875,0.27481054079735245,0.49283154121863804,0.5282258064516129,0.33937987212196463,0.7200748088248838,max_ratio,3
0.6360294117647058,0.75,0.27887913630166,0.47296015180265655,0.43548387096774194,0.33888968263389846,0.7508242275420793,max_ratio,3
0.66015625,0.75,0.2697010334814042,0.4753024193548387,0.45161290322580644,0.3491859674501166,0.7623437901391569,min_weight,3
0.7,0.75,0.22844583603121335,0.5016129032258064,0.6209677419354839,0.3449401361646504,0.7280081024867253,max_ratio,3
0.7366071428571429,0.75,0.1892456999484522,0.5201612903225806,0.625,0.3497454690446876,0.7139049873924406,min_value,3
0.6916666666666667,0.75,0.24839764267981468,0.4908602150537634,0.6209677419354839,0.35522787391972366,0.7542185338327021,min_ratio,3
0.66015625,0.75,0.2697010334814042,0.4753024193548387,0.45161290322580644,0.3491859674501166,0.7623437901391569,default,3
0.6541666666666667,0.75,0.2775137634224452,0.4483870967741936,0.28225806451612906,0.3441926917988757,0.7623985969219667,min_weight,3
0.6964285714285714,0.75,0.2360590011857551,0.47465437788018433,0.45161290322580644,0.34143974833564267,0.7298802194931335,max_ratio,3
0.7355769230769231,0.75,0.19635171016021288,0.4925558312655087,0.6209677419354839,0.34794023960215154,0.7202604345424211,default,3
0.528125,0.6875,0.37106003136285104,0.4178861788617886,0.34146341463414637,0.34374383703667183,0.5534225465720891,default,4
0.5526315789473685,0.75,0.36458292111835294,0.4249037227214377,0.37398373983739835,0.35127460091572105,0.5425779013157568,max_ratio,4
0.5798611111111112,0.75,0.355271289359568,0.3988256549232159,0.34146341463414637,0.34253147605983786,0.6027328527254505,max_ratio,4
0.6102941176470589,0.75,0.3420105802811098,0.40028694404591103,0.3089430894308943,0.35240745098667436,0.6065061750130468,max_ratio,4
0.64453125,0.75,0.3230400260005523,0.4115853658536585,0.35365853658536583,0.3602538355513787,0.5889455660764233,min_weight,4
0.6833333333333333,0.75,0.2953340857778225,0.43468834688346886,0.3983739837398374,0.3604095596845687,0.5363552069346658,max_ratio,4
0.7232142857142857,0.78125,0.26380869111953853,0.43437862950058076,0.35365853658536583,0.3730574081118984,0.5430696977277891,min_value,4
