,SimulatedAnnealing,RandomSearch,hyperheuristic,IP
0,5441.0,6599.0,11227.0,11238.0
1,14008.0,12553.0,25187.0,28857.0
2,18386.0,22071.0,48219.0,54503.0
3,29141.0,31649.0,98692.0,110625.0
4,64754.0,71094.0,246455.0,276450.0
5,128368.0,133063.0,496005.0,563640.0
6,1248.0,1309.0,951.0,1514.0
7,1244.0,1275.0,1096.0,1634.0
8,3294.0,2937.0,3105.0,4566.0
9,5853.0,5728.0,6152.0,9052.0
10,11176.0,11487.0,11972.0,18051.0
11,27845.0,27512.0,28084.0,44353.0
12,55471.0,55608.0,59173.0,90198.0
13,1993.0,1690.0,2375.0,2397.0
14,1886.0,1693.0,2649.0,2697.0
15,4198.0,3512.0,7098.0,7117.0
16,7190.0,7090.0,14374.0,14390.0
17,13319.0,13518.0,28827.0,28919.0
18,31405.0,32305.0,72446.0,72505.0
19,63815.0,63313.0,146888.0,146919.0
20,293.0,246.0,238.0,295.0
21,1018.0,1018.0,1009.0,1024.0
22,35.0,35.0,35.0,35.0
23,23.0,16.0,18.0,23.0
24,446.0,343.0,383.0,486.0
25,47.0,40.0,52.0,52.0
26,102.0,102.0,79.0,107.0
27,9745.0,9745.0,9554.0,9767.0
28,130.0,130.0,70.0,130.0
29,1025.0,1010.0,1010.0,1025.0
